,Year_Reported,Account_Number,Organization,City,Country,CDP_Region,Reporting_Authority,Access,City_emissions_invent,Accounting_year,Admin_city_boundary,Invent_boundary_to_Admini_city_boundary,Primary_Protocol,Protocol_Comment,Common_Reporting_Format,Gases_Included,Direct_emissions_1,Direct_emissions_2,Indirect_emissions_1,Indirect_emissions_2,Emissions_occurring_outside_1,Emissions_occurring_outside_2,TOTAL_Scope_1,TOTAL_Scope_2,TOTAL_Scope_3,TOTAL_Scope_1_2,TOTAL_Scope_1_2_3,Change_in_emissions,Reason_for_change,Land_area_km,Population,Population_Year,City_Location,Last_update.,Scope1,Scope2,Scope3,Outside_City,long,lat,City.Location
48,2019,50568,City of Saskatoon,City of Saskatoon,Canada,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Basic guidelines followed,No,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,0,0,0,0,0,2133712,1232849,347331,0,3713892,Decreased,Change in weather conditions,0,272200,2019,10667 521332,20200501T035757217,2133712,1232849,347331,0,-106.67,52.1332,-106.67 52.1332
51,2019,54518,City of Helsingborg,City of Helsingborg,Sweden,Europe,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Regional or country specific methodology,Sweden report national emissions of greenhouse gases to UNFCCC and CLRTAP every year according to established rules These emissions are taken down at municipal level mainly by the use of a ütop downüù concept The allocation of emissions to municipal level is carried out by a national network SMED wwwsmedse Short summary of the methodology 1 The area within a municipality where a certain emission happens is mapped for example pasture 2 Statistics for activities related to the emissions are developed for example the number of grazing animals 3 Information in 1 and 2 are combined and ümultiplicationüù with  total emission at national level give the emission raster,Unknown,CH4 CO2 HFCs N20 PFCs SF6,73763,542765,13780,0,0,0,0,0,0,0,630308,Decreased,Technological change,0,145415,2018,,20200501T035757217,616528,13780,0,0,,,
52,2019,63562,City of South Bend IN,City of South Bend IN,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,3723299.07,0,393977,0,81378.88,0,0,0,0,4198654.95,This is our first year of calculation,Other First year of calculation,0,102245,2017,416754 862532,20200501T035757217,3723299.07,0,393977,81378.88,-86.2532,41.6754,41.6754 -86.2532
54,2019,73732,Monte Buey,Monte Buey,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,42140.43,0,6327.84,0,970.59,0,0,0,0,49438.86,This is our first year of calculation,Other,0,6285,2010,,20200501T035757217,42140.43,0,6327.84,970.59,,,
56,2019,46470,Ayuntamiento de VitoriaGasteiz,Ayuntamiento de VitoriaGasteiz,Spain,Europe,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170101  20171231,Unknown,Larger covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Unknown,Unknown,CH4 CO2 N20,0,527184,0,204695,0,1664,0,0,0,0,733543,Decreased,Policy change,0,251604,2018,267 4284,20200501T035757217,527184,0,204695,1664,-2.67,42.84,-2.67 42.84
60,2019,35858,City of Cape Town,City of Cape Town,South Africa,Africa,C40 CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,9499498.21,11662205.03,1232606.95,21145125.41,22394310.19,Decreased,Other Decline in electricityrelated emissions and total liquid fuels sales,0,4223565,2017,184239 339253,20200501T035757217,9499498.21,11662205.03,1232606.95,0,18.4239,-33.9253,18.4239 -33.9253
61,2019,73686,Los Molles,Los Molles,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,2926.91,0,911.22,0,758.23,0,0,0,0,4596.36,,,0,732,2010,,20200501T035757217,2926.91,0,911.22,758.23,,,
62,2019,74309,Nakhon Sawan,Nakhon Sawan,Thailand,East Asia,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20130101  20131231,Unknown,Same covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Unknown,Unknown,CO2,0,176321.3,0,179300.64,0,17043.52,0,0,0,0,372665.46,This is our first year of calculation,,0,83045,2018,,20200501T035757217,176321.3,0,179300.64,17043.52,,,
64,2019,839666,Municipio de Escuintla,Municipio de Escuintla,Guatemala,Latin America,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20190101  20200101,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Es el protocolo que se adapta a la elaboracin del inventario de ciudades GEI de Guatemala,No,CH4 CO2 N20,0,0,0,0,0,0,116127,834,164628,281588,281589,Do not know,,0,170543,2019,,20200501T035757217,116127,834,164628,0,,,
66,2019,73690,Villa General Belgrano,Villa General Belgrano,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,48040.76,0,8775.93,0,6084.39,0,0,0,0,62901.08,Do not know,Other Primer inventario realizado,0,8257,2010,,20200501T035757217,48040.76,0,8775.93,6084.39,,,
68,2019,43937,Wellington City Council,Wellington City Council,New Zealand,Southeast Asia and Oceania,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20140701  20150630,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,0,0,0,0,0,621179,0,0,773061,621179,Decreased,Technological change,0,213847,2019,174776 412865,20200501T035757217,621179,0,0,0,174.776,-41.2865,174.776 -41.2865
69,2019,20113,City of Vancouver,City of Vancouver,Canada,North America,C40 CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20180101  20181231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,The City has compiled a GPCcompliant inventory for 2018 as a Global Covenant of Mayors signatory,No,CH4 CO2 N20,0,0,0,0,0,0,2399259,58217,98392,2551251,2555868,Decreased,Change in weather conditions,0,642686,2018,123114 492612,20200501T035757217,2399259,58217,98392,0,-123.114,49.2612,-123.114 49.2612
70,2019,49360,City of Tshwane,City of Tshwane,South Africa,Africa,C40 CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20140701  20150630,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,9138309,119473513,340698,21426358,128952520,Do not know,Change in methodology,0,3306198,2017,281881 257461,20200501T035757217,9138309,119473513,340698,0,28.1881,-25.7461,28.1881 -25.7461
71,2019,55799,Arlington VA,Arlington VA,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,This report documents the greenhouse gas inventory results for Arlington County Virginia for calendar year2016 This inventory updates results and methodologies previously reported for 2007 and 2012 as new data andmethodology refinements have emerged,No,CH4 CO2 N20,0,0,0,0,0,0,1067210,1151808,40983,2260001,2260001,Decreased,Increased energyelectricity consumption,0,220400,2016,760026 372265,20200501T035757217,1067210,1151808,40983,0,-76.0026,37.2265,-76.0026 37.2265
76,2019,73648,Arias,Arias,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,90391.06,0,4825.65,0,740.18,0,0,0,0,95956.89,This is our first year of calculation,Other,0,7249,2010,,20200501T035757217,90391.06,0,4825.65,740.18,,,
81,2019,50371,Municipalidad de Crdoba,Municipalidad de Crdoba,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,presentado y aceptado por Compact of Mayors,No,CO2,0,0,0,0,0,0,3451661,1362933,0,4814594,4814594,Decreased,Improved data accuracy,0,1430000,2017,641888 314201,20200501T035757217,3451661,1362933,0,0,-64.1888,-31.4201,-95.6089
82,2019,50394,Prefeitura Municipal de Joo Pessoa,Prefeitura Municipal de Joo Pessoa,Brazil,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,O inventrio adotou a metodologia GPC com orientao e superviso do ICLEI Amrica do Sul,No,CH4 CO2 N20,0,0,0,0,0,0,2309846,194421,333232,1550999,2837499,This is our first year of calculation,,0,723515,2010,348639 716882,20200501T035757217,2309846,194421,333232,0,-34.8639,-7.16882,-42.03272
85,2019,31114,City of Sydney,City of Sydney,Australia,Southeast Asia and Oceania,C40 CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170701  20180630,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,0,0,0,0,0,0,2896137.46,1368268.15,3677319,4264405.61,Decreased,Behavioural change,0,240229,2018,151207 338675,20200501T035757217,0,2896137.46,1368268.15,0,151.207,-33.8675,151.207 -33.8675
87,2019,60417,Municipalidad de San Carlos de Bariloche,Municipalidad de San Carlos de Bariloche,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,5134.72,811350.2,0,88705.46,0,13606.06,0,0,0,0,918796.44,Do not know,,0,112887,2010,,20200501T035757217,816484.92,0,88705.46,13606.06,,,
89,2019,54529,City of Leicester,City of Leicester,United Kingdom of Great Britain and Northern Ireland,Europe,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,1019212.92,468460.17,356716.22,1486785.92,1844389.31,Decreased,Technological change,0,353540,2017,11333 526333,20200501T035757217,1019212.92,468460.17,356716.22,0,-1.1333,52.6333,-1.1333 52.6333
91,2019,54538,Bath and North East Somerset,Bath and North East Somerset,United Kingdom of Great Britain and Northern Ireland,Europe,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,536875.86,0,230002.18,0,186449.37,0,0,0,0,953327.41,,,0,188600,2017,,20200501T035757217,536875.86,0,230002.18,186449.37,,,
92,2019,58543,Byron Shire Council,Byron Shire Council,Australia,Southeast Asia and Oceania,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170701  20180630,Unknown,Smaller covers only part of the city,Regional or country specific methodology,Australian National Greenhouse and Energy Reporting Methodology,Unknown,CH4 CO2,0,36,0,0,0,0,0,0,0,0,36,Decreased,Change in data collection methods,0,34574,2018,153533 286534,20200501T035757217,36,0,0,0,153.533,-28.6534,153.533 -28.6534
93,2019,54057,City of Lancaster,City of Lancaster,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20150101  20151231,Unknown,Same covers entire city and nothing else,Other,2012 US Community Protocol for Accounting and Reporting of Greenhouse Gas Emission,Unknown,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,777350,0,0,0,0,0,0,0,0,777350,Do not know,Lack of documentation,0,161148,2017,763055 400379,20200501T035757217,777350,0,0,0,-76.3055,40.0379,-76.3055 40.0379
94,2019,74401,City of Encinitas CA,City of Encinitas CA,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20120101  20121230,Unknown,Same covers entire city and nothing else,Regional or country specific methodology,The California Adaptation Planning Guide APG,Unknown,CH4 CO2 HFCs N20 PFCs,0,0,0,0,0,0,435710,0,48063,0,483773,Decreased,Other,0,63184,2017,117293 330454,20200501T035757217,435710,0,48063,0,-117.293,33.0454,-117.293 33.0454
98,2019,3203,City of Chicago,City of Chicago,United States of America,North America,C40 CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20150101  20151231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,16784486,14766295,1100599,32651379,32651380,Decreased,Policy change,0,2705994,2018,876298 418781,20200501T035757217,16784486,14766295,1100599,0,-87.6298,41.8781,-87.6298 41.8781
99,2019,35393,City of St Louis,City of St Louis,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20180101  20181231,Unknown,Larger covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CO2 HFCs N20 PFCs SF6,63901,2619715.62,0,3850597.69,0,133040.38,0,0,0,0,6667254.69,Decreased,Behavioural change,0,302838,2018,901994 38627,20200501T035757217,2683616.62,0,3850597.69,133040.38,-90.1994,38.627,-90.1994 38.627
100,2019,54608,Alcaldia de Montera,Alcaldia de Montera,Colombia,Latin America,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20120101  20121231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,827954,75784,39631,903738,943369,Decreased,Technological change,0,357746,2018,758814 874798,20200501T035757217,827954,75784,39631,0,-75.8814,8.74798,-75.8814 8.74798
102,2019,73701,San Carlos Sud,San Carlos Sud,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,21430.53,0,3266.39,0,501.01,0,0,0,0,25197.93,This is our first year of calculation,Other,0,2102,2010,,20200501T035757217,21430.53,0,3266.39,501.01,,,
104,2019,73652,Caseros,Caseros,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtica que fue diseada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,19010.08,0,1928.11,0,295.74,0,0,0,0,21233.93,This is our first year of calculation,Other,0,2339,2010,,20200501T035757217,19010.08,0,1928.11,295.74,,,
110,2019,36254,Comune di Venezia,Comune di Venezia,Italy,Europe,C40 CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,8735271,618544,15396,3103390,9369211,Decreased,Behavioural change,0,260520,2018,123211 454333,20200501T035757217,8735271,618544,15396,0,12.3211,45.4333,12.3211 45.4333
115,2019,73802,Crespo,Crespo,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Excel Se utiliz la herramienta de clculo desarrollada por la Red Argentina de Municipios frente al Cambio Climtico que fue diseada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas,Yes,CH4 CO2 N20,0,103588.4,0,26986.92,0,4807.31,0,0,0,0,135382.63,This is our first year of calculation,Other,0,20274,2010,,20200501T035757217,103588.4,0,26986.92,4807.31,,,
123,2019,54361,Petaling Jaya City Council,Petaling Jaya City Council,Malaysia,Southeast Asia and Oceania,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CO2,0,0,0,0,0,0,3496,0,0,0,3496,Do not know,Other,0,658611,2010,101595 31279,20200501T035757217,3496,0,0,0,101.595,3.1279,101.595 3.1279
124,2019,54066,City of Fort Collins,City of Fort Collins,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Some calculations are still applied from the ICLEI Community Protocol however these calculations align with the methods required by GPC,Yes,CH4 CO2 N20,0,950705.52,0,1094436.67,0,72526.06,0,0,0,0,2117668.25,Decreased,Change in data collection methods,0,170100,2018,105084 405853,20200501T035757217,950705.52,0,1094436.67,72526.06,-105.084,40.5853,-105.084 40.5853
126,2019,59595,City of Brisbane CA,City of Brisbane CA,United States of America,North America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20150101  20151231,Unknown,Same covers entire city and nothing else,Regional or country specific methodology,Unknown,Unknown,CH4 CO2 N20,0,0,0,0,0,0,47450,14030,1053,0,62533,Decreased,Change in data collection methods,0,4603,2015,1224 376808,20200501T035757217,47450,14030,1053,0,-122.4,37.6808,-122.4 37.6808
128,2019,44185,Suwon City,Suwon City,Republic of Korea,East Asia,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,3549896,2170292,16678,5736865,5736866,Increased,Population increase,0,1242212,2018,126805 3717,20200501T035757217,3549896,2170292,16678,0,126.805,37.17,126.805 37.17
133,2019,73680,Carcarana,Carcarana,Argentina,Latin America,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20140101  20141231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,Yes,CH4 CO2 N20,0,85990.84,0,18056.93,0,2769.66,0,0,0,0,106817.43,,,0,16432,2010,,20200501T035757217,85990.84,0,18056.93,2769.66,,,
134,2019,50383,Prefeitura de Sorocaba,Prefeitura de Sorocaba,Brazil,Latin America,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20170101  20171231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Basic energia transporte resduos,Yes,CH4 CO2 N20,0,1068820,0,188910,0,265830,0,0,0,0,1523560,Increased,Change in accounting methodology,0,671186,2018,474221 234775,20200501T035757217,1068820,0,188910,265830,-47.4221,-23.4775,-70.8996
135,2019,60906,Municipalidad de Vitacura,Municipalidad de Vitacura,Chile,Latin America,CDP Cities ICLEI  Local Governments for Sustainability WWF,public,Yes,20180101  20181231,Unknown,Smaller covers only part of the city,Regional or country specific methodology,Metodologa Huella Chile,Unknown,CH4 CO2 HFCs N20 NF3 PFCs SF6,0,561.54,0,3975,0,19941,0,0,0,0,24477.54,Decreased,Technological change,0,85,217,,20200501T035757217,561.54,0,3975,19941,,,
137,2019,59158,Moroni City,Moroni City,Comoros,Africa,CDP Cities ICLEI  Local Governments for Sustainability,public,Yes,20160101  20161231,Unknown,Same covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories GPC,Unknown,No,CH4 CO2 N20,0,0,0,0,0,0,33277,13340,6643,49285,53260,This is our first year of calculation,Lack of resource  funding overcome,0,55541,2016,432473 117172,20200501T035757217,33277,13340,6643,0,43.2473,-11.7172,43.2473 -11.7172
